# k is in units of fm^{-1}
# u(k) is the S-wave wave function in units of fm^{3/2}
# w(k) is the D-wave wave function in units of fm^{3/2}
# 
# Normalization:
# 
# integral[ (u(k)^2+w(k)^2) k^2 dk ] =  1
# 
#
# Original file by Bob Wiringa
# Original: https://www.phy.anl.gov/theory/research/av18/deut.wfk
# Modified 2025.09.29 by Adam Freese:
# - # before comments
# - remove some whitespace
# - some comments in header
# Use:
#   df = pd.read_csv("/path/to/av18k.csv", sep='\s+', comment='#')
# to import as a pandas dataframe
#
#
 k           u(k)           w(k)
 7.55000   -2.3151296968E-05   -4.5445332491E-05
 7.60000   -7.1259335877E-06   -5.2291815691E-05
 7.65000    7.7174685142E-06   -5.8460617328E-05
 7.70000    2.1437178313E-05   -6.3993998095E-05
 7.75000    3.4089371030E-05   -6.8932081885E-05
 7.80000    4.5728176047E-05   -7.3312949865E-05
 7.85000    5.6405721632E-05   -7.7172730085E-05
 7.90000    6.6172177892E-05   -8.0545683090E-05
 7.95000    7.5075801876E-05   -8.3464284285E-05
 8.00000    8.3162985850E-05   -8.5959303629E-05
 8.05000    9.0478305836E-05   -8.8059882878E-05
 8.10000    9.7064567941E-05   -8.9793610208E-05
 8.15000    1.0296285376E-04   -9.1186591905E-05
 8.20000    1.0821256753E-04   -9.2263520819E-05
 8.25000    1.1285148483E-04   -9.3047741402E-05
 8.30000    1.1691579953E-04   -9.3561311430E-05
 8.35000    1.2044016741E-04   -9.3825060840E-05
 8.40000    1.2345774877E-04   -9.3858648365E-05
 8.45000    1.2600025327E-04   -9.3680616508E-05
 8.50000    1.2809798667E-04   -9.3308445003E-05
 8.55000    1.2977989645E-04   -9.2758602455E-05
 8.60000    1.3107361416E-04   -9.2046595741E-05
 8.65000    1.3200549646E-04   -9.1187016858E-05
 8.70000    1.3260066730E-04   -9.0193587218E-05
 8.75000    1.3288306056E-04   -8.9079199584E-05
 8.80000    1.3287546073E-04   -8.7855958034E-05
 8.85000    1.3259954082E-04   -8.6535216440E-05
 8.90000    1.3207589984E-04   -8.5127615812E-05
 8.95000    1.3132410223E-04   -8.3643120640E-05
 9.00000    1.3036271771E-04   -8.2091053937E-05
 9.05000    1.2920935882E-04   -8.0480130622E-05
 9.10000    1.2788071507E-04   -7.8818488978E-05
 9.15000    1.2639258623E-04   -7.7113720267E-05
 9.20000    1.2475991681E-04   -7.5372896801E-05
 9.25000    1.2299683085E-04   -7.3602598799E-05
 9.30000    1.2111666460E-04   -7.1808940266E-05
 9.35000    1.1913199691E-04   -6.9997594019E-05
 9.40000    1.1705467936E-04   -6.8173815863E-05
